date;match_id;team1;team2;map1;map1_score;map2;map2_score;map3;map3_score
27th of november 2012;8893756;kerchnet;znation;nuke_se;2:16;;;;
27th of november 2012;8893757;esc;kerchnet;nuke_se;16:6;;;;
27th of november 2012;8893758;imaginary;dat;dust2_se;16:7;;;;
27th of november 2012;8893759;natus-vincere;rush3d;dust2_se;10:16;;;;
27th of november 2012;8893760;mousesports;virtuspro;dust2_se;8:16;;;;
27th of november 2012;8893762;alternate-attax;hawks;dust2_se;16:13;;;;
27th of november 2012;8893764;kerchnet;virtuspro;dust2_se;2:16;;;;
27th of november 2012;8893765;rush3d;znation;inferno_se;15:15;;;;
27th of november 2012;8893767;cph-wolves;alternate-attax;mirage_ce;13:16;;;;
27th of november 2012;8893768;natus-vincere;virtuspro;train_se;3:16;;;;
27th of november 2012;8893847;znation;wizards;inferno_se;15:15;;;;
28th of november 2012;8894144;dat;kerchnet;mirage_ce;16:1;;;;
28th of november 2012;8894146;dat;virtuspro;mirage_ce;16:7;;;;
28th of november 2012;8894147;kerchnet;cph-wolves;mirage_ce;4:16;;;;
28th of november 2012;8894148;hawks;kerchnet;dust2_se;16:2;;;;
28th of november 2012;8894149;esc;mousesports;nuke_se;16:9;;;;
28th of november 2012;8894151;alternate-attax;dat;mirage_ce;3:16;;;;
28th of november 2012;8894152;znation;imaginary;inferno_se;12:16;;;;
28th of november 2012;8894153;mousesports;kerchnet;mirage_ce;16:4;;;;
28th of november 2012;8894154;virtuspro;esc;mirage_ce;16:14;;;;
28th of november 2012;8894155;natus-vincere;hawks;train_se;8:16;;;;
28th of november 2012;8894156;cph-wolves;virtuspro;dust2_se;16:12;;;;
28th of november 2012;8894205;natus-vincere;znation;mirage_ce;16:9;;;;
29th of november 2012;8894437;nip;maxfloplay;inferno_se;16:3;;;;
29th of november 2012;8894438;redzone;swissrage;mirage_ce;16:8;;;;
29th of november 2012;8894564;rush3d;kerchnet;dust2_se;16:9;;;;
